🇨🇳 央视,#genre#
淮南新闻,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000105
淮南公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000103
六安综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000125
六安公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000123
桐城新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000113
池州新闻,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000089
池州公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000087
黄山新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000117
黄山公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000115
淮北新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000119
淮北公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000121
来安综合,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000069
全椒综合,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000067
凤阳综合,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000065
明光综合,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000063
定远综合,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000061
灵璧综合频道,http://10.255.126.3:8006/AHBKLIVE/11111120220222000000000000000001
蚌埠课堂1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000636
蚌埠课堂2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000635
蚌埠课堂3,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000634
蚌埠课堂4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000633
蚌埠课堂5,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000632
蚌埠课堂6,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000631
蚌埠课堂7,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000544

芜湖课堂1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000630
芜湖课堂2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000629
芜湖课堂3,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000628
芜湖课堂4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000627
芜湖课堂5,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000626
宿州课堂1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000603
宿州课堂3,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000601
滁州5中职教育,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000642
安徽经视,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000029
